"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Karin_Enke,""Speed skating"",""GDR"",1980,1988,3,4,1,8"
"http://dbpedia.org/resource/Mikhail_Voronin,""Gymnastics"",""JPN"",1968,1972,2,5,1,8"
"http://dbpedia.org/resource/Yuri_Titov,""Gymnastics"",""URS"",1956,1964,1,4,3,8"
"http://dbpedia.org/resource/Merlene_Ottey,""Athletics"",""JAM"",1980,2000,0,3,5,8"
"http://dbpedia.org/resource/Carl_Lewis,""Athletics"",""USA"",1984,1996,7,1,0,8"
"http://dbpedia.org/resource/Alfred_Swahn,""Shooting"",""SWE"",1908,1924,2,3,3,8"
"http://dbpedia.org/resource/Petria_Thomas,""Swimming"",""AUS"",1996,2004,3,4,1,8"
"http://dbpedia.org/resource/Emil_Hegle_Svendsen,""Biathlon"",""NOR"",2010,2018,4,3,1,8"
"http://dbpedia.org/resource/Dmitri_Sautin,""Diving"",""RUS"",1992,2008,2,2,4,8"
"http://dbpedia.org/resource/Margit_Korondi,""Gymnastics"",""HUN"",1952,1956,2,2,4,8"
"http://dbpedia.org/resource/Gunda_Niemann-Stirnemann,""Speed skating"",""GER"",1992,1998,3,4,1,8"
"http://dbpedia.org/resource/Usain_Bolt,""Athletics"",""JAM"",2008,2016,8,0,0,8"
"http://dbpedia.org/resource/Sixten_Jernberg,""Cross-country skiing"",""SWE"",1956,1964,4,3,1,8"
"http://dbpedia.org/resource/Heikki_Savolainen_(gymnast),""Gymnastics"",""FIN"",1928,1952,2,1,5,8"
"http://dbpedia.org/resource/Ville_Ritola,""Athletics"",""FIN"",1924,1928,5,3,0,8"
"http://dbpedia.org/resource/Regan_Smith_(swimmer),""Swimming"",""USA"",2020,2024,2,5,1,8"
"http://dbpedia.org/resource/Mollie_O'Callaghan,""Swimming"",""AUS"",2020,2024,5,1,2,8"
"http://dbpedia.org/resource/Tiril_Eckhoff,""Biathlon"",""NOR"",2014,2022,2,3,3,8"
"http://dbpedia.org/resource/Duncan_Scott_(swimmer),""Swimming"",""GBR"",2016,2024,2,6,0,8"
"http://dbpedia.org/resource/Johannes_Thingnes_Bø,""Biathlon"",""NOR"",2018,2022,5,2,1,8"
"http://dbpedia.org/resource/Ray_Ewry,""Athletics"",""USA"",1900,1908,8,0,0,8"
"http://dbpedia.org/resource/Elisabeta_Lipă,""Rowing"",""ROM"",1984,2004,5,2,1,8"
"http://dbpedia.org/resource/Allison_Schmitt,""Swimming"",""USA"",2008,2020,2,3,3,8"
"http://dbpedia.org/resource/Otto_Olsen_(sport_shooter),""Shooting"",""NOR"",1920,1924,4,3,1,8"
"http://dbpedia.org/resource/Giovanna_Trillini,""Fencing"",""ITA"",1992,2008,4,1,3,8"
"http://dbpedia.org/resource/Kjetil_Aamodt,""Alpine skiing"",""NOR"",1992,2006,4,2,2,8"
"http://dbpedia.org/resource/Sofia_Muratova,""Gymnastics"",""URS"",1956,1960,2,2,4,8"
"http://dbpedia.org/resource/Kaylee_McKeown,""Swimming"",""AUS"",2020,2024,5,1,2,8"
"http://dbpedia.org/resource/Sven_Fischer,""Biathlon"",""GER"",1994,2006,4,2,2,8"
"http://dbpedia.org/resource/Cate_Campbell,""Swimming"",""AUS"",2008,2020,3,1,3,7"
