countryCode,nbOr,nbArgent,nbBronze,totalMedals,weightedScore,numDisciplines,temporalSpan,medalsPerAthlete,cluster
VIE,1,2,1,4,8,3,16,1.3333333333333333,0
PUR,2,1,2,5,10,3,12,1.25,0
MDA,0,2,2,4,6,3,24,1.3333333333333333,0
CMR,2,0,1,3,7,2,8,1.5,0
BWI,0,0,5,5,5,1,0,1.25,0
LUX,1,2,0,3,7,2,40,1.5,0
PAN,1,0,2,3,5,1,60,1.5,1
JOR,0,2,0,2,4,1,4,1.0,0
PAK,0,0,1,1,1,1,0,1.0,0
TAN,0,1,0,1,2,1,0,1.0,0
URU,0,2,3,5,7,2,52,1.0,0
ISV,0,1,0,1,2,1,0,1.0,0
NGR,0,5,3,8,13,2,36,1.0,0
BRN,1,2,0,3,7,1,8,1.0,0
CEY,0,1,0,1,2,1,0,1.0,0
PER,0,1,1,2,3,2,32,1.0,0
SAM,0,1,0,1,2,1,0,1.0,0
RU1,0,3,1,4,7,2,4,1.0,0
SGP,0,1,1,2,3,2,64,1.0,0
LIB,0,1,1,2,3,1,28,1.0,0
SUD,0,1,0,1,2,1,0,1.0,0
DMA,1,0,0,1,3,1,0,1.0,0
HAI,0,1,3,4,5,2,4,1.0,0
BOH,0,0,1,1,1,1,0,1.0,0
UAE,1,0,0,1,3,1,0,1.0,0
BER,1,0,0,1,3,1,0,1.0,0
BUR,0,0,1,1,1,1,0,1.0,0
QAT,1,0,2,3,5,2,20,1.0,0
ALB,0,0,1,1,1,1,0,1.0,0
AHO,0,1,0,1,2,1,0,1.0,0
GHA,0,0,1,1,1,1,0,1.0,0
KSA,0,0,1,1,1,1,0,1.0,0
SYR,0,1,0,1,2,1,0,1.0,0
ZZX,1,0,0,1,3,1,0,1.0,0
GAB,0,1,0,1,2,1,0,1.0,0
ZAM,0,0,1,1,1,1,0,1.0,0
AIN,0,1,0,1,2,1,0,1.0,0
BAR,0,0,1,1,1,1,0,1.0,0
